run_accession	study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_total_spots	run_total_bases	run_alias	public_filename	public_url	public_size	public_date	public_md5	public_version	public_semantic_name	public_supertype	public_sratoolkit	ncbi_url	ncbi_free_egress	ncbi_access_type	aws_url	aws_free_egress	aws_access_type	gcp_url	gcp_free_egress	gcp_access_type	experiment_alias	source_name	strain	genotype	cell type	ena_fastq_http	ena_fastq_http_1	ena_fastq_http_2	ena_fastq_ftp	ena_fastq_ftp_1	ena_fastq_ftp_2
SRR5799381	SRP110978	ImmGen ATAC-seq data	SRX2978848	GSM2692169: Ep.MEChi.Th#1; Mus musculus; ATAC-seq	GSM2692169: Ep.MEChi.Th#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332741		NextSeq 500	NextSeq 500	ILLUMINA	9165759	285503781	9165759	687431925	GSM2692169_r1	SRR5799381.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799381.sralite.1	173133467	2020-06-13 22:13:13	581f6f0035bb99f34457b4b0ed58fc62	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799381.sralite.1	worldwide	anonymous	s3://sra-pub-zq-1/SRR5799381/SRR5799381.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-5/SRR5799381/SRR5799381.zq.1	gs.US	gcp identity	GSM2692169	Thymus	C57BL/6		Thymic epithelial Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799381/SRR5799381_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799381/SRR5799381_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/001/SRR5799381/SRR5799381_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/001/SRR5799381/SRR5799381_2.fastq.gz
SRR5799382	SRP110978	ImmGen ATAC-seq data	SRX2978849	GSM2692170: Ep.MEChi.Th#2; Mus musculus; ATAC-seq	GSM2692170: Ep.MEChi.Th#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332742		NextSeq 500	NextSeq 500	ILLUMINA	10157529	298095728	10157529	761814675	GSM2692170_r1	SRR5799382.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799382.sralite.1	191941271	2020-06-20 18:31:03	71e622c67d9b8617fb2bcfea42e941df	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799382.sralite.1	worldwide	anonymous	s3://sra-pub-zq-8/SRR5799382/SRR5799382.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-7/SRR5799382/SRR5799382.zq.1	gs.US	gcp identity	GSM2692170	Thymus	C57BL/6		Thymic epithelial Cell		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799382/SRR5799382_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799382/SRR5799382_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/002/SRR5799382/SRR5799382_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/002/SRR5799382/SRR5799382_2.fastq.gz
SRR5799383	SRP110978	ImmGen ATAC-seq data	SRX2978850	GSM2692171: preT.DN1.Th#1; Mus musculus; ATAC-seq	GSM2692171: preT.DN1.Th#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332740		NextSeq 500	NextSeq 500	ILLUMINA	9513299	290821538	9513299	713497425	GSM2692171_r1	SRR5799383.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799383.sralite.1	179810733	2020-06-23 05:26:09	9a4344c4fe5e38843fc149abb5aa7186	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799383.sralite.1	worldwide	anonymous	s3://sra-pub-zq-5/SRR5799383/SRR5799383.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-7/SRR5799383/SRR5799383.zq.1	gs.US	gcp identity	GSM2692171	Thymus	C57BL/6		Double Negative Thymocytes		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799383/SRR5799383_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799383/SRR5799383_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/003/SRR5799383/SRR5799383_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/003/SRR5799383/SRR5799383_2.fastq.gz
SRR5799384	SRP110978	ImmGen ATAC-seq data	SRX2978851	GSM2692172: preT.DN1.Th#2; Mus musculus; ATAC-seq	GSM2692172: preT.DN1.Th#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332743		NextSeq 500	NextSeq 500	ILLUMINA	10096189	300957803	10096189	757214175	GSM2692172_r1	SRR5799384.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799384.sralite.1	190729543	2020-06-20 01:55:33	6fe486b6f0278fce9ca5e72c606b19ad	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799384.sralite.1	worldwide	anonymous	s3://sra-pub-zq-7/SRR5799384/SRR5799384.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-7/SRR5799384/SRR5799384.zq.1	gs.US	gcp identity	GSM2692172	Thymus	C57BL/6		Double Negative Thymocytes		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799384/SRR5799384_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799384/SRR5799384_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/004/SRR5799384/SRR5799384_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/004/SRR5799384/SRR5799384_2.fastq.gz
SRR5799385	SRP110978	ImmGen ATAC-seq data	SRX2978852	GSM2692173: preT.DN2a.Th#1; Mus musculus; ATAC-seq	GSM2692173: preT.DN2a.Th#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332744		NextSeq 500	NextSeq 500	ILLUMINA	9966713	293831679	9966713	747503475	GSM2692173_r1	SRR5799385.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799385.sralite.1	188355822	2020-06-20 01:56:15	484003eddb6c2b77d403be7d90a98fbd	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799385.sralite.1	worldwide	anonymous	s3://sra-pub-zq-7/SRR5799385/SRR5799385.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-7/SRR5799385/SRR5799385.zq.1	gs.US	gcp identity	GSM2692173	Thymus	C57BL/6		Double Negative Thymocytes		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799385/SRR5799385_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799385/SRR5799385_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/005/SRR5799385/SRR5799385_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/005/SRR5799385/SRR5799385_2.fastq.gz
SRR5799386	SRP110978	ImmGen ATAC-seq data	SRX2978853	GSM2692174: preT.DN2a.Th#2; Mus musculus; ATAC-seq	GSM2692174: preT.DN2a.Th#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332745		NextSeq 500	NextSeq 500	ILLUMINA	9867135	291316538	9867135	740035125	GSM2692174_r1	preT.DN2a.Th.rep2.R1.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799386.sralite.1	203393319	2020-03-26 07:25:20	a73ee6795be45e49d52b5278e9478b0f	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799386.sralite.1	worldwide	anonymous	s3://sra-pub-src-7/SRR5799386/preT.DN2a.Th.rep2.R1.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-5/SRR5799386/SRR5799386.zq.1	gs.US	gcp identity	GSM2692174	Thymus	C57BL/6		Double Negative Thymocytes		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799386/SRR5799386_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799386/SRR5799386_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/006/SRR5799386/SRR5799386_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/006/SRR5799386/SRR5799386_2.fastq.gz
SRR5799387	SRP110978	ImmGen ATAC-seq data	SRX2978854	GSM2692175: preT.DN2b.Th#1; Mus musculus; ATAC-seq	GSM2692175: preT.DN2b.Th#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332746		NextSeq 500	NextSeq 500	ILLUMINA	10717419	358158714	10717419	803806425	GSM2692175_r1	preT.DN2b.Th.rep1.R1.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799387.sralite.1	230146484	2020-03-26 16:39:00	86d5dbd9a658278e83ac925c06b79e9e	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799387.sralite.1	worldwide	anonymous	s3://sra-pub-src-8/SRR5799387/preT.DN2b.Th.rep1.R1.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-7/SRR5799387/SRR5799387.zq.1	gs.US	gcp identity	GSM2692175	Thymus	C57BL/6		Double Negative Thymocytes		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799387/SRR5799387_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799387/SRR5799387_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/007/SRR5799387/SRR5799387_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/007/SRR5799387/SRR5799387_2.fastq.gz
SRR5799388	SRP110978	ImmGen ATAC-seq data	SRX2978855	GSM2692176: preT.DN2b.Th#2; Mus musculus; ATAC-seq	GSM2692176: preT.DN2b.Th#2; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332747		NextSeq 500	NextSeq 500	ILLUMINA	9344485	274290856	9344485	700836375	GSM2692176_r1	preT.DN2b.Th.rep2.R1.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799388.sralite.1	192369604	2020-03-26 12:48:19	c873f0650418833f5266d6e4cd32d8fa	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799388.sralite.1	worldwide	anonymous	s3://sra-pub-src-8/SRR5799388/preT.DN2b.Th.rep2.R1.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-6/SRR5799388/SRR5799388.zq.1	gs.US	gcp identity	GSM2692176	Thymus	C57BL/6		Double Negative Thymocytes		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799388/SRR5799388_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799388/SRR5799388_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/008/SRR5799388/SRR5799388_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/008/SRR5799388/SRR5799388_2.fastq.gz
SRR5799389	SRP110978	ImmGen ATAC-seq data	SRX2978856	GSM2692177: preT.DN3.Th#1; Mus musculus; ATAC-seq	GSM2692177: preT.DN3.Th#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332748		NextSeq 500	NextSeq 500	ILLUMINA	10628114	303042537	10628114	797108550	GSM2692177_r1	SRR5799389.sralite	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799389.sralite.1	201155937	2020-06-21 21:16:15	b23219dbca831844a2d713841d6869df	1	SRA Lite	Primary ETL	1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799389.sralite.1	worldwide	anonymous	s3://sra-pub-zq-2/SRR5799389/SRR5799389.sralite.1	s3.us-east-1	aws identity	gs://sra-pub-zq-7/SRR5799389/SRR5799389.zq.1	gs.US	gcp identity	GSM2692177	Thymus	C57BL/6		Double Negative Thymocytes		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799389/SRR5799389_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799389/SRR5799389_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/009/SRR5799389/SRR5799389_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/009/SRR5799389/SRR5799389_2.fastq.gz
SRR5799390	SRP110978	ImmGen ATAC-seq data	SRX2978857	GSM2692178: T.DN4.Th#1; Mus musculus; ATAC-seq	GSM2692178: T.DN4.Th#1; Mus musculus; ATAC-seq	10090	Mus musculus		ATAC-seq	GENOMIC	other	PAIRED	SRS2332749		NextSeq 500	NextSeq 500	ILLUMINA	11261924	340086155	11261924	844644300	GSM2692178_r1	T.DN4.Th.rep1.R1.fastq.bz2	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799390.sralite.1	235512155	2020-03-26 04:26:22	ebccad2ca6b3efa9e420af6201f14183	1	fastq	Original	0	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/799/SRR5799390.sralite.1	worldwide	anonymous	s3://sra-pub-src-5/SRR5799390/T.DN4.Th.rep1.R1.fastq.bz2	-	Use Cloud Data Delivery	gs://sra-pub-zq-5/SRR5799390/SRR5799390.zq.1	gs.US	gcp identity	GSM2692178	Thymus	C57BL/6		Double Negative Thymocytes		http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799390/SRR5799390_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799390/SRR5799390_2.fastq.gz		era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/000/SRR5799390/SRR5799390_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR579/000/SRR5799390/SRR5799390_2.fastq.gz
